Date,Close,High,Low,Open,Volume
2014.12.26,360355.6875,364201.8438,347688.125,351625.7188,18033498450
2014.12.27,347101.8438,361440.3125,343549.125,359980.9688,16687016280
2014.12.28,348613.9375,351678.7813,341843.625,347428.2188,12831415740
2014.12.29,343602.4688,352037.5,343241.0313,349121.625,13519586325
2014.12.30,340474.5313,346069.5313,338949.0313,343656.2813,13727258310
2014.12.31,349954.9375,349954.9375,339045.125,340668.4688,15238892555
2015.1.1,343546.4375,350219.4375,343026.2813,350219.4375,8785797557
2015.1.2,348400.2188,349387.4063,344702,343360.5938,8693250048
2015.1.3,310854.2188,348530.6875,310854.2188,348194.5,36555522048
2015.1.4,292178.5313,317653.4063,284898.25,310924.9688,61521334272
2015.1.5,304364.2188,308916.75,293156.4063,293161.7188,48750348920
2015.1.6,314141.0625,315782.0938,299938.3438,304516.125,25516107519
2015.1.7,323202.625,328719.0313,310650.9063,314018.125,27305487076
2015.1.8,310207.6563,322654.3438,309387.9375,322980.8438,21876641175
2015.1.9,315040.4063,315931.4688,306201.75,309150.0938,20306311652
2015.1.10,298104.1875,312565.9375,297203.8125,311672.0625,16559017926
2015.1.11,288164.0625,303356.9063,287519.625,297900.25,19742589768
2015.1.12,289680.2813,294986.4063,287699.5938,288691.2188,20423198116
2015.1.13,243414.9063,290892.75,236937.7188,289245.4375,78505332219
2015.1.14,192751.9688,241277.125,185548.0938,241295.0313,1.05669E+11
2015.1.15,225708.2031,246739.5156,191862.4844,191446.7813,87955580902
2015.1.16,224343.1406,238930.5,215161.3594,224875.7031,41420527470
2015.1.17,214816.2188,228260.8438,210088.8906,224059.5938,25301979479
2015.1.18,226903.2031,235768.5313,209691.0781,215667.9063,32454301625
2015.1.19,231877.9844,233611.1094,223188.1875,228124.3281,20136037360
2015.1.20,229720.5469,233278.1875,222896.6875,229769.2344,26145950810
2015.1.21,245468.5156,246250.2188,228529.2813,229789.0313,32373928510
2015.1.22,253243.1875,256976,245862.0469,245928.3125,36395555554
2015.1.23,250696.5625,252850.5625,243752.1563,253363.6094,26505506267
2015.1.24,266809.7813,267200.5625,247620.9844,250503.875,26678609075
2015.1.25,273325.3438,274676.4375,262550.0313,266276.9063,36177971056
2015.1.26,295277,334140.9063,274176.6563,273714.2188,1.15309E+11
2015.1.27,283788.9375,298399.9375,270063.5625,294946.5938,47822162900
2015.1.28,253715.8906,287668.5625,246354,283655.375,48106613730
2015.1.29,256761.5625,260571.4688,241876.0781,253100.9219,35420566104
2015.1.30,249384.5,265254,248739.0781,255946.7813,29302967280
2015.1.31,239514.8594,257181.2969,238242.7344,249402.1094,25715707480
2015.2.1,250032.3594,255101.9219,233513.3281,238857.3125,32087955600
2015.2.2,261670.7344,266157.5938,245345.7188,249502.4844,33624330640
2015.2.3,247999.3906,270523.1875,245104.0156,260819.4688,44503989114
2015.2.4,246847.8125,250123.6563,239688.7031,248264.5625,28938321602
2015.2.5,235578.4531,260549.25,233534.9219,247731.3906,24431644984
2015.2.6,243828.0313,252486.8125,235199.8594,235374.4688,26805768453
2015.2.7,249848.4063,252640.2969,244202.0938,244230.625,23700023442
2015.2.8,245071.7969,251695.7813,242523.6719,249781.4844,18807427140
2015.2.9,240899.3906,245089.0781,237907.0781,245046.5781,30416188285
2015.2.10,241405.2031,243652.7813,234576.2188,241087.625,23186491310
2015.2.11,242412.0313,245054.0469,241623.8125,241287.7031,19024785343
2015.2.12,244261.9688,244701.0938,241590.7031,242437.4688,16748868990
2015.2.13,258503.5625,263650.625,242879.2969,244487.75,46934206088
