Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2014-12-13,383371.09375,388894.71875,382501.46875,388894.71875,12885756758
2014-12-14,387930.96875,389566.21875,381210.21875,382654.84375,13696821096
2014-12-15,379219.90625,386961.3125,378744.40625,387632.0,18957645378
2014-12-16,353230.25,379787.78125,353230.25,379580.0625,33334400649
2014-12-17,351405.03125,362507.0625,345157.625,353006.6875,41283740989
2014-12-18,341894.125,356824.4375,334706.90625,351414.9375,43009603620
2014-12-19,349344.40625,350102.78125,337998.09375,341655.84375,26184207441
2014-12-20,362657.9375,363063.53125,347367.125,349098.21875,22923807537
2014-12-21,352766.875,362298.53125,350509.5,362204.0,16720756200
2014-12-22,364799.125,365888.1875,350897.40625,353014.25,24528088467
2014-12-23,370183.84375,371889.6875,361804.09375,364943.125,18338357848
2014-12-24,355848.53125,370086.3125,354504.96875,369976.9375,16651183667
2014-12-25,351467.0625,355943.75,349002.46875,355574.9375,10889300370
2014-12-26,360355.6875,364201.84375,347688.125,351625.71875,18033498450
2014-12-27,347101.84375,361440.3125,343549.125,359980.96875,16687016280
2014-12-28,348613.9375,351678.78125,341843.625,347428.21875,12831415740
2014-12-29,343602.46875,352037.5,343241.03125,349121.625,13519586325
2014-12-30,340474.53125,346069.53125,338949.03125,343656.28125,13727258310
2014-12-31,349954.9375,349954.9375,339045.125,340668.46875,15238892555
2015-01-01,343546.4375,350219.4375,343026.28125,350219.4375,8785797557
2015-01-02,348400.21875,349387.40625,344702.0,343360.59375,8693250048
2015-01-03,310854.21875,348530.6875,310854.21875,348194.5,36555522048
2015-01-04,292178.53125,317653.40625,284898.25,310924.96875,61521334272
2015-01-05,304364.21875,308916.75,293156.40625,293161.71875,48750348920
2015-01-06,314141.0625,315782.09375,299938.34375,304516.125,25516107519
2015-01-07,323202.625,328719.03125,310650.90625,314018.125,27305487076
2015-01-08,310207.65625,322654.34375,309387.9375,322980.84375,21876641175
2015-01-09,315040.40625,315931.46875,306201.75,309150.09375,20306311652
2015-01-10,298104.1875,312565.9375,297203.8125,311672.0625,16559017926
2015-01-11,288164.0625,303356.90625,287519.625,297900.25,19742589768
2015-01-12,289680.28125,294986.40625,287699.59375,288691.21875,20423198116
2015-01-13,243414.90625,290892.75,236937.71875,289245.4375,78505332219
